"VersionEffective","PartNumber","PROPERTY","ValuePrior","ValueCurrent","ChangeReason"
"2.79","LP101259-2","STATUS","ACTIVE","INACTIVE",""
"2.79","LP104997-4","STATUS","ACTIVE","INACTIVE",""
"2.79","LP104998-2","STATUS","ACTIVE","INACTIVE",""
"2.79","LP111663-3","STATUS","ACTIVE","INACTIVE",""
"2.79","LP129062-8","STATUS","ACTIVE","INACTIVE",""
"2.79","LP147369-5","STATUS","ACTIVE","INACTIVE",""
"2.79","LP149837-9","STATUS","ACTIVE","INACTIVE",""
"2.79","LP15191-7","STATUS","ACTIVE","INACTIVE",""
"2.79","LP15392-1","STATUS","ACTIVE","INACTIVE",""
"2.79","LP157167-0","STATUS","ACTIVE","INACTIVE",""
"2.79","LP16409-2","STATUS","ACTIVE","INACTIVE",""
"2.79","LP16410-0","STATUS","ACTIVE","INACTIVE",""
"2.79","LP172588-8","STATUS","ACTIVE","INACTIVE",""
"2.79","LP172819-7","STATUS","ACTIVE","INACTIVE",""
"2.79","LP172885-8","STATUS","ACTIVE","INACTIVE",""
"2.79","LP173457-5","STATUS","DEPRECATED","ACTIVE",""
"2.79","LP17689-8","STATUS","ACTIVE","INACTIVE",""
"2.79","LP17695-5","STATUS","ACTIVE","INACTIVE",""
"2.79","LP17833-2","STATUS","ACTIVE","INACTIVE",""
"2.79","LP17861-3","STATUS","ACTIVE","INACTIVE",""
"2.79","LP183574-5","STATUS","ACTIVE","INACTIVE",""
"2.79","LP191794-9","STATUS","ACTIVE","INACTIVE",""
"2.79","LP200482-0","STATUS","ACTIVE","INACTIVE",""
"2.79","LP201811-9","STATUS","ACTIVE","INACTIVE",""
"2.79","LP204137-6","STATUS","ACTIVE","INACTIVE",""
"2.79","LP204138-4","STATUS","ACTIVE","INACTIVE",""
"2.79","LP204139-2","STATUS","ACTIVE","INACTIVE",""
"2.79","LP207484-9","STATUS","ACTIVE","INACTIVE",""
"2.79","LP207489-8","STATUS","ACTIVE","INACTIVE",""
"2.79","LP231961-6","STATUS","ACTIVE","INACTIVE",""
