"LOINC_NUM","COMPONENT","PROPERTY","TIME_ASPCT","SYSTEM","SCALE_TYP","METHOD_TYP","CLASS","SHORTNAME","LONG_COMMON_NAME","RELATEDNAMES2","LinguisticVariantDisplayName"
"33512-5","","","","","","","","","","Farbe /SM","Farbe /Sondermaterial"
"35745-9","","","","","","","","","","Steatokrit /ST","Steatokrit /ST"
"35867-1","","","","","","","","","","Acetoacetat","Acetoacetat"
"4069-1","","","","","","","","","","Triazolam","Triazolam"
"45269-8","","","","","","","","","","Chr.Leukämiepanel FC","Chronisches Leukämiepanel Flowzytometrie"
"3542-8","","","","","","","","","","Propoxyphene ql.","Propoxyphene qualitativ"
"3771-3","","","","","","","","","","Methadon ql.","Methadon qualitativ"
"3777-0","","","","","","","","","","Methamphetamine ql.","Methamphetamine qualitativ"
"3784-6","","","","","","","","","","Methaqualon ql.","Methaqualon qualitativ"
"3752-3","","","","","","","","","","Meprobamat ql.","Meprobamat qualitativ"
"3878-6","","","","","","","","","","Opiate ql.","Opiate qualitativ"
"94519-6","Entlassungsbrief Ärztlich","Ergebnis","Zeitpunkt","{Setting}","Dokument","Dermatologie","DOC.ONTOLOGY","","","Bericht Entlassungsbrief aus stationärer Behandlung (Arzt); Ärztlicher Entlassungsbrief",""
"43730-1","","","","","","","","","","EBV-DNA qn. PCR","EBV-DNA quantitativ PCR"
"41009-2","","","","","","","","","","Coronavirus OC43 RNA ql. /SM PCR","Coronavirus OC43 RNA ql. /Sondermaterial PCR"
"49521-8","","","","","","","","","","Influenza-A-H1-RNA ql. /SM PCR","Influenza-A-H1-RNA ql. /Sondermaterial PCR"
"49524-2","","","","","","","","","","Influenza-A-H3-RNA ql. /SM PCR","Influenza-A-H3-RNA ql. /Sondermaterial PCR"
"34691-6","","","","","","","","","","Erythro-Dihydrobupropion","Erythro-Dihydrobupropion"
"81994-6","","","","","","","","","","IgE f427 Erdnusskomponente RAST","IgE f427 Erdnusskomponente (rAra h9) RAST"
"62423-9","","","","","","","","","","Coronavirus HKU1 RNA ql. /SM PCR","Coronavirus HKU1 RNA ql. /Sondermaterial PCR"
"88720-8","","","","","","","","","","Mycoplasma pneumoniae DNA ql. /NP PCR","Mycoplasma pneumoniae DNA ql. /NP PCR"
"86586-5","","","","","","","","","","Humanes Parechovirus RNA ql. /L PCR","Humanes Parechovirus RNA ql. /Liquor PCR"
"90880-6","","","","","","","","","","IgE f447 Erdnusskomponente","IgE f447 Erdnusskomponente (rAra h6)"
"94315-9","","","","","","","","","","SARS-CoV-2 E-Gen ql. /Material n. spez. PCR","SARS-CoV-2 E-Gen ql. /Material n. spez. PCR"
"94500-6","","","","","","","","","","SARS-CoV-2-RNA ql. /RT PCR","SARS-CoV-2-RNA ql. /Respirationstrakt PCR"
"10857-1","","","","","","","","","","Microsporidien mikr. /SM","Microsporidien mikr. /Sondermaterial"
"10626-0","","","","","","","","","","Spermien Mobilität langsam rel. /EJ","Spermien Mobilität langsam relativ /Ejakulat"
"21184-7","","","","","","","","","","Chlamydophila pneumoniae ql. Kultur /SM","Chlamydophila pneumoniae ql. Kultur /SM"
"21748-9","","","","","","","","","","Kappa Leichtketten Rearrangements","Kappa Leichtketten Rearrangements"
"20752-2","","","","","","","","","","Chlamydophila psittaci ql. Kultur /SM","Chlamydophila psittaci ql. Kultur /SM"
"20966-8","","","","","","","","","","Staphylococcus spp. Kultur /SM","Staphylococcus spp. Kultur /Sondermaterial"
"34352-5","","","","","","","","","","Pentacarboxylporphyrin /U","Pentacarboxylporphyrin /Urin"
"34174-3","","","","","","","","","","Hämoglobinzylinder /US","Hämoglobinzylinder /Urinsediment"
"34314-5","","","","","","","","","","Heptacarboxyporphyrin /U","Heptacarboxyporphyrin /Urin"
"34387-1","","","","","","","","","","Zink /U","Zink /Urin"
"34434-1","","","","","","","","","","LH/FSH Ratio","LH/FSH Ratio"
"34284-0","","","","","","","","","","Delta-Amino-Lävulinsäure /U","Delta-Amino-Lävulinsäure /Urin"
"3449-6","","","","","","","","","","Ceftazidim","Ceftazidim"
"43979-4","","","","","","","","","","Aspergillus spp. Kultur /SM","Aspergillus spp. Kultur /Sondermaterial"
"44014-9","","","","","","","","","","Kommentar Porphyrine /U","Kommentar Porphyrine /Urin"
"44556-9","","","","","","","","","","Influenza A-AK ql.","Influenza A-Antikörper qualitativ"
"43387-0","","","","","","","","","","Neisseria spp. Kultur /SM","Neisseria spp. Kultur /Sondermaterial"
"43628-7","","","","","","","","","","Acetaminophenkristalle /US","Acetaminophenkristalle /Urinsediment"
"43695-6","","","","","","","","","","Herpes Virus Shell-Vial Kultur /SM","Herpes Virus Shell-Vial Kultur /Sondermaterial"
"53974-2","","","","","","","","","","Kommentar Erythrozytenmorphologie","Kommentar Erythrozytenmorphologie"
"53550-0","","","","","","","","","","Fructosamin/Protein Ratio","Fructosamin/Protein Ratio"
"5362-9","","","","","","","","","","Spermien Antikörper","Spermien Antikörper"
"62485-8","","","","","","","","","","Human-Herpes-Virus 6A-DNA ql. /SM PCR","Human-Herpes-Virus 6A-DNA ql. /Sondermaterial PCR"
"6317-2","","","","","","","","","","Bordetella spp. Kultur /SM","Bordetella spp. Kultur /Sondermaterial"
"63427-9","","","","","","","","","","E.coli Shiga-like Toxin 1 Gen (STX1) ql. /SM PCR","E.coli Shiga-like Toxin 1 Gen (STX1) ql. /SM PCR"
"63428-7","","","","","","","","","","E.coli Shiga-like Toxin 2 Gen (STX2) ql. /SM PCR","E.coli Shiga-like Toxin 2 Gen (STX2) ql. /SM PCR"
"5795-0","","","","","","","","","","Hippuratkristalle /US","Hippuratkristalle /Urinsediment"
"580-1","","","","","","","","","","Pilz Kultur /SM","Pilz Kultur /Sondermaterial"
"74231-2","","","","","","","","","","Kommentar Erythropoese /KM","Kommentar Erythropoese /Knochenmark"
"73907-8","","","","","","","","","","Poliovirus Kultur /SM","Poliovirus Kultur /Sondermaterial"
"85093-3","","","","","","","","","","Kristallzylinder /US","Kristallzylinder /Urinsediment"
"85238-4","","","","","","","","","","Internistischer Befund","Internistischer Befund"
"85866-2","","","","","","","","","","Schlafmedizinischer Befund","Schlafmedizinischer Befund"
"97704-1","Entlassungsbrief Ärztlich","Ergebnis","Zeitpunkt","{Setting}","Dokument","Strahlentherapie-Radioonkologie","DOC.ONTOLOGY","","","Bericht Entlassungsbrief aus stationärer Behandlung (Arzt); Ärztlicher Entlassungsbrief",""
"89879-1","Befund","Ergebnis","Zeitpunkt","ambulant","Dokument","Kinder- und Jugendheilkunde","DOC.ONTOLOGY","","","Bericht",""
