"RecType","LOINC_NUM","COMPONENT","PROPERTY","TIME_ASPCT","SYSTEM","SCALE_TYP","METHOD_TYP","CLASS"
"BEFORE","100430-8","Cells.LRBA+/100 Cells.CD3+CD14-CD45+","NFr","Pt","Bld","Qn","Flow cytometry","CELLMARK"
"CHANGED","100430-8","Cells.LRBA+/Cells.CD3+CD14-CD45+","NFr","Pt","Bld","Qn","Flow cytometry","CELLMARK"
"BEFORE","100432-4","Cells.LRBA+/100 Cells.CD3-CD14-CD19+CD45+","NFr","Pt","Bld","Qn","Flow cytometry","CELLMARK"
"CHANGED","100432-4","Cells.LRBA+/Cells.CD3-CD14-CD19+CD45+","NFr","Pt","Bld","Qn","Flow cytometry","CELLMARK"
"BEFORE","100693-1","Pneumocystis jiroveci DNA","LnCnc","Pt","Respiratory System Specimen","Qn","Probe.amp.tar","MICRO"
"CHANGED","100693-1","Pneumocystis jirovecii DNA","LnCnc","Pt","Respiratory System Specimen","Qn","Probe.amp.tar","MICRO"
"BEFORE","100707-9","Polymorphonuclear cells","NCnc","Pt","Dial fld prt","Qn","Automated count","HEM/BC"
"CHANGED","100707-9","Granulocytes","NCnc","Pt","Dial fld prt","Qn","Automated count","HEM/BC"
"BEFORE","100708-7","Plasma cells/100 leukocytes","NFr","Pt","Synv fld","Qn","","HEM/BC"
"CHANGED","100708-7","Plasma cells/Leukocytes","NFr","Pt","Synv fld","Qn","","HEM/BC"
"BEFORE","100853-1","Pericardial effusion","Find","Pt","Pericardial space","Doc","NM","RAD"
"CHANGED","100853-1","Pericardial effusion","Find","Pt","Chest>Pericardial space","Doc","NM","RAD"
"BEFORE","100854-9","Lymphocytes/100 Cells","NFr","Pt","Bld MC","Qn","IA","MICRO"
"CHANGED","100854-9","Lymphocytes/Cells","NFr","Pt","Bld MC","Qn","IA","MICRO"
"BEFORE","100855-6","Cells.CD3/100 cells","NFr","Pt","Bld MC","Qn","","MICRO"
"CHANGED","100855-6","Cells.CD3/Cells","NFr","Pt","Bld MC","Qn","","MICRO"
"BEFORE","100856-4","Cells.CD3+CD4+/100 cells","NFr","Pt","Bld MC","Qn","","MICRO"
"CHANGED","100856-4","Cells.CD3+CD4+/Cells","NFr","Pt","Bld MC","Qn","","MICRO"
"BEFORE","100857-2","Cells.CD3+CD8+/100 cells","NFr","Pt","Bld MC","Qn","","MICRO"
"CHANGED","100857-2","Cells.CD3+CD8+/Cells","NFr","Pt","Bld MC","Qn","","MICRO"
"BEFORE","100905-9","Gram positive bacteria identified","Prid","Pt","Isolate","Nom","Organism specific culture","MICRO"
"CHANGED","100905-9","Gram positive bacteria","Prid","Pt","Isolate","Nom","Organism specific culture","MICRO"
"BEFORE","100910-9","Gram negative bacteria.colistin resistant identified","Prid","Pt","Stool","Nom","Organism specific culture","MICRO"
"CHANGED","100910-9","Gram negative bacteria.colistin resistant","Prid","Pt","Stool","Nom","Organism specific culture","MICRO"
"BEFORE","101130-3","Mast cells/100 cells","NFr","Pt","Bone mar","Qn","Flow cytometry","HEM/BC"
"CHANGED","101130-3","Mast cells/Cells","NFr","Pt","Bone mar","Qn","Flow cytometry","HEM/BC"
"BEFORE","101147-7","Monocytes/100 leukocytes","NFr","Pt","Bld","Qn","Flow cytometry","CELLMARK"
"CHANGED","101147-7","Monocytes/Leukocytes","NFr","Pt","Bld","Qn","Flow cytometry","CELLMARK"
"BEFORE","101148-5","Monocytes.CD14+CD16-/100 Monocytes","NFr","Pt","Bld","Qn","","CELLMARK"
"CHANGED","101148-5","Monocytes.CD14+CD16-/Monocytes","NFr","Pt","Bld","Qn","","CELLMARK"
"BEFORE","101178-2","Pneumocystis jiroveci DNA","ThreshNum","Pt","Respiratory System Specimen","Qn","Probe.amp.tar","MICRO"
"CHANGED","101178-2","Pneumocystis jirovecii DNA","ThreshNum","Pt","Respiratory System Specimen","Qn","Probe.amp.tar","MICRO"
"BEFORE","101238-4","Spermatozoa.immotile/100 spermatozoa^post vasectomy","NFr","Pt","Semen","Qn","","FERT"
"CHANGED","101238-4","Spermatozoa.immotile/Spermatozoa^post vasectomy","NFr","Pt","Semen","Qn","","FERT"
"BEFORE","101343-2","Erythrocytes.parasite sp infected/100 cells","NFr","Pt","Bld","Qn","","MICRO"
"CHANGED","101343-2","Erythrocytes.parasite sp infected/Cells","NFr","Pt","Bld","Qn","","MICRO"
"BEFORE","101570-0","Spermatozoa.normal chromatin/100 spermatozoa","NFr","Pt","Semen","Qn","","FERT"
"CHANGED","101570-0","Spermatozoa.normal chromatin/Spermatozoa","NFr","Pt","Semen","Qn","","FERT"
"BEFORE","101678-1","Blood group antibody screen","PrThr","Pt","Bld^Newborn","Ord","","BLDBK"
"CHANGED","101678-1","Blood group antibody","PrThr","Pt","Bld^Newborn","Ord","Blood group antibody screen","BLDBK"
"BEFORE","101751-6","Lithium","SCnc","Pt","Blood","Qn","Inductively Coupled Plasma/Optical Emission Spectrometry (ICP/OES)","DRUG/TOX"
"CHANGED","101751-6","Lithium","SCnc","Pt","Bld","Qn","Inductively Coupled Plasma/Optical Emission Spectrometry (ICP/OES)","DRUG/TOX"
"BEFORE","101806-8","Beta-Amyloid","Ratio","Pt","Plas","Qn","LC/MS/MS","CHEM"
"CHANGED","101806-8","Amyloid beta 42 peptide/Amyloid beta 40 peptide","Ratio","Pt","Plas","Qn","LC/MS/MS","CHEM"
"BEFORE","101879-5","Osmolality","Osmol","Pt","BldA","Qn","Calculated","CHEM"
"CHANGED","101879-5","Observation","Osmol","Pt","BldA","Qn","Calculated.Sum of electrolytes","CHEM"
"BEFORE","101880-3","Osmolality","Osmol","Pt","BldV","Qn","Calculated","CHEM"
"CHANGED","101880-3","Observation","Osmol","Pt","BldV","Qn","Calculated.Sum of electrolytes","CHEM"
"BEFORE","101996-7","Erythrocytes.Plasmodium falciparum infected/100 erythrocytes","NFr","Pt","Bld","Qn","Microscopy","MICRO"
"CHANGED","101996-7","Erythrocytes.Plasmodium falciparum infected/Erythrocytes","NFr","Pt","Bld","Qn","Microscopy","MICRO"
"BEFORE","102097-3","Glomerular filtration rate/1.73 sq M.predicted","ArVRat","Pt","Ser/Plas/Bld","Qn","Creatinine, Cystatin C and Urea-based formula (CKiD)","CHEM"
"CHANGED","102097-3","Glomerular filtration rate","ArVRat","Pt","Ser/Plas/Bld","Qn","Creatinine, Cystatin C and Urea-based formula (CKiD)/1.73 sq M","CHEM"
"BEFORE","102518-8","Pigweed common Ab.IgE","PrThr","Pt","Ser","SemiQn","RAST","ALLERGY"
"CHANGED","102518-8","Amaranthus retroflexus Ab.IgE","PrThr","Pt","Ser","SemiQn","RAST","ALLERGY"
"BEFORE","103203-6","Cells.CD65/100 cells","NFr","Pt","Bld/Bone mar","Qn","Flow cytometry","CELLMARK"
"CHANGED","103203-6","Cells.CD65/Cells","NFr","Pt","Bld/Bone mar","Qn","Flow cytometry","CELLMARK"
"BEFORE","10327-5","Eosinophils/100 leukocytes","NFr","Pt","Sputum","Qn","Manual count","HEM/BC"
"CHANGED","10327-5","Eosinophils/Leukocytes","NFr","Pt","Sputum","Qn","Manual count","HEM/BC"
"BEFORE","10328-3","Lymphocytes/100 leukocytes","NFr","Pt","CSF","Qn","Manual count","HEM/BC"
"CHANGED","10328-3","Lymphocytes/Leukocytes","NFr","Pt","CSF","Qn","Manual count","HEM/BC"
"BEFORE","10329-1","Monocytes/100 leukocytes","NFr","Pt","CSF","Qn","Manual count","HEM/BC"
"CHANGED","10329-1","Monocytes/Leukocytes","NFr","Pt","CSF","Qn","Manual count","HEM/BC"
"BEFORE","10330-9","Monocytes/100 leukocytes","NFr","Pt","Body fld","Qn","Manual count","HEM/BC"
"CHANGED","10330-9","Monocytes/Leukocytes","NFr","Pt","Body fld","Qn","Manual count","HEM/BC"
"BEFORE","10333-3","Appearance","Aper","Pt","CSF","Nom","","SPEC"
"CHANGED","10333-3","Observation","Aper","Pt","CSF","Nom","","SPEC"
"BEFORE","10335-8","Color","Type","Pt","CSF","Nom","","SPEC"
"CHANGED","10335-8","Observation","Color","Pt","CSF","Nom","","SPEC"
"BEFORE","10347-3","Babesia microti identified","Prid","Pt","Bld","Nom","Microscopy.light","MICRO"
"CHANGED","10347-3","Babesia microti","Prid","Pt","Bld","Nom","Microscopy.light","MICRO"
"ADD","103631-8","Natalizumab","MCnc","Pt","Ser","Ord","IA","DRUG/TOX"
"ADD","103632-6","Natalizumab Ab","MCnc","Pt","Ser","Qn","IA","SERO"
"BEFORE","103655-7","Color","Type","Pt","Plr fld.spun","Nom","","SPEC"
"CHANGED","103655-7","Observation","Color","Pt","Plr fld.spun","Nom","","SPEC"
"BEFORE","103656-5","Color","Type","Pt","Periton fld.spun","Nom","","SPEC"
"CHANGED","103656-5","Observation","Color","Pt","Periton fld.spun","Nom","","SPEC"
"BEFORE","103657-3","Color","Type","Pt","Pericard fld.spun","Nom","","SPEC"
"CHANGED","103657-3","Observation","Color","Pt","Pericard fld.spun","Nom","","SPEC"
"BEFORE","103661-5","Campylobacter & Salmonella & Shigella sp identified","Prid","Pt","Stool","Nom","Organism specific culture","MICRO"
"CHANGED","103661-5","Campylobacter & Salmonella & Shigella sp","Prid","Pt","Stool","Nom","Organism specific culture","MICRO"
"BEFORE","103662-3","Campylobacter & Salmonella & Shigella & Yersinia sp identified","Prid","Pt","Stool","Nom","Organism specific culture","MICRO"
"CHANGED","103662-3","Campylobacter & Salmonella & Shigella & Yersinia sp","Prid","Pt","Stool","Nom","Organism specific culture","MICRO"
"BEFORE","103663-1","Salmonella & Shigella & Campylobacter & E. coli sp identified","Prid","Pt","Stool","Nom","Organism specific culture","MICRO"
"CHANGED","103663-1","Salmonella & Shigella & Campylobacter & E. coli sp","Prid","Pt","Stool","Nom","Organism specific culture","MICRO"
"BEFORE","103665-6","Cells.CD4+CD26-/100 cells.CD4","NFr","Pt","Bld","Qn","Flow cytometry","CELLMARK"
"CHANGED","103665-6","Cells.CD4+CD26-/Cells.CD4","NFr","Pt","Bld","Qn","Flow cytometry","CELLMARK"
"BEFORE","103666-4","Cells.CD200/100 cells","NFr","Pt","Bone marrow","Qn","Flow cytometry","CELLMARK"
"CHANGED","103666-4","Cells.CD200/Cells","NFr","Pt","Bone marrow","Qn","Flow cytometry","CELLMARK"
"BEFORE","103681-3","Cells.CD19/100 lymphocytes","NFr","Pt","Bld","Qn","","CELLMARK"
"CHANGED","103681-3","Cells.CD19/Lymphocytes","NFr","Pt","Bld","Qn","","CELLMARK"
"BEFORE","103682-1","Cells.CD3+CD25+/100 lymphocytes","NFr","Pt","BAL","Qn","","CELLMARK"
"CHANGED","103682-1","Cells.CD3+CD25+/Lymphocytes","NFr","Pt","BAL","Qn","","CELLMARK"
"BEFORE","103683-9","Cells.CD3+HLA DR+/100 lymphocytes","NFr","Pt","BAL","Qn","","CELLMARK"
"CHANGED","103683-9","Cells.CD3+HLA DR+/Lymphocytes","NFr","Pt","BAL","Qn","","CELLMARK"
"BEFORE","103686-2","Pneumocystis jiroveci DNA","PrThr","Pt","CSF","Ord","Probe.amp.tar","MICRO"
"CHANGED","103686-2","Pneumocystis jirovecii DNA","PrThr","Pt","CSF","Ord","Probe.amp.tar","MICRO"
"BEFORE","103744-9","Other cells/100 leukocytes","NFr","Pt","BAL","Qn","Manual count","HEM/BC"
"CHANGED","103744-9","Other cells/Leukocytes","NFr","Pt","BAL","Qn","Manual count","HEM/BC"
"BEFORE","103789-4","Aeromonas & plesiomonas sp identified","Prid","Pt","Stool","Nom","Organism specific culture","MICRO"
"CHANGED","103789-4","Aeromonas & plesiomonas sp","Prid","Pt","Stool","Nom","Organism specific culture","MICRO"
